wlen 	 newgal_spectrum 
  4967.554 	      0.000
  4968.375 	     -0.020
  4969.196 	     -0.029
  4970.017 	     -0.039
  4970.838 	     -0.035
  4971.660 	     -0.042
  4972.481 	     -0.048
  4973.303 	     -0.047
  4974.125 	     -0.049
  4974.947 	     -0.041
  4975.769 	     -0.011
  4976.591 	      0.029
  4977.413 	      0.035
  4978.236 	      0.025
  4979.058 	      0.013
  4979.881 	      0.020
  4980.704 	      0.037
  4981.527 	      0.040
  4982.350 	      0.026
  4983.174 	      0.023
  4983.997 	     -0.008
  4984.821 	     -0.018
  4985.644 	     -0.014
  4986.468 	     -0.005
  4987.292 	      0.010
  4988.116 	      0.021
  4988.940 	      0.017
  4989.765 	      0.003
  4990.589 	     -0.005
  4991.414 	      0.000
  4992.239 	     -0.001
  4993.064 	     -0.001
  4993.889 	      0.009
  4994.714 	      0.008
  4995.539 	     -0.005
  4996.365 	     -0.011
  4997.190 	     -0.000
  4998.016 	      0.020
  4998.842 	      0.034
  4999.668 	      0.051
  5000.494 	      0.055
  5001.320 	      0.033
  5002.147 	      0.031
  5002.973 	      0.051
  5003.800 	      0.056
  5004.627 	      0.026
  5005.454 	     -0.015
  5006.281 	     -0.017
  5007.108 	      0.017
  5007.936 	      0.035
  5008.763 	      0.054
  5009.591 	      0.069
  5010.419 	      0.065
  5011.247 	      0.062
  5012.075 	      0.057
  5012.903 	      0.039
  5013.731 	      0.011
  5014.560 	     -0.002
  5015.388 	      0.014
  5016.217 	      0.013
  5017.046 	     -0.022
  5017.875 	     -0.034
  5018.704 	     -0.020
  5019.533 	     -0.015
  5020.363 	     -0.022
  5021.192 	     -0.026
  5022.022 	     -0.029
  5022.852 	     -0.042
  5023.682 	     -0.033
  5024.512 	     -0.020
  5025.342 	     -0.008
  5026.173 	     -0.017
  5027.003 	     -0.021
  5027.834 	     -0.017
  5028.665 	     -0.021
  5029.496 	     -0.020
  5030.327 	     -0.007
  5031.158 	     -0.009
  5031.989 	     -0.025
  5032.821 	     -0.055
  5033.653 	     -0.064
