WV      	 Sigma   
5111.598	    0.119
5112.443	    0.129
5113.288	    0.135
5114.132	    0.111
5114.978	    0.083
5115.823	    0.096
5116.668	    0.116
5117.514	    0.150
5118.359	    0.184
5119.205	    0.180
5120.051	    0.099
5120.897	    0.079
5121.743	    0.100
5122.589	    0.081
5123.436	    0.061
5124.283	    0.099
5125.129	    0.134
5125.976	    0.143
5126.823	    0.163
5127.670	    0.179
5128.518	    0.167
5129.365	    0.166
5130.213	    0.155
5131.060	    0.110
5131.908	    0.129
5132.756	    0.167
5133.604	    0.190
5134.453	    0.208
5135.301	    0.210
5136.150	    0.182
5136.998	    0.140
5137.847	    0.138
5138.696	    0.119
5139.545	    0.141
5140.395	    0.117
5141.244	    0.124
5142.094	    0.076
5142.943	    0.051
5143.793	    0.029
5144.643	    0.097
5145.493	    0.122
5146.343	    0.113
5147.194	    0.115
5148.044	    0.128
5148.895	    0.115
5149.746	    0.113
5150.597	    0.133
5151.448	    0.141
5152.299	    0.108
5153.151	    0.103
5154.002	    0.089
5154.854	    0.063
5155.706	    0.088
5156.557	    0.101
5157.410	    0.121
5158.262	    0.122
5159.114	    0.111
5159.967	    0.151
5160.819	    0.150
5161.672	    0.083
5162.525	    0.086
5163.378	    0.158
5164.231	    0.169
5165.085	    0.144
5165.938	    0.148
5166.792	    0.174
5167.645	    0.187
5168.499	    0.183
5169.353	    0.192
5170.208	    0.199
5171.062	    0.179
5171.916	    0.176
5172.771	    0.194
5173.626	    0.140
5174.481	    0.113
5175.336	    0.160
5176.191	    0.142
5177.046	    0.139
5177.902	    0.079
5178.757	    0.091
5179.613	    0.156
5180.469	    0.168
5181.325	    0.156
5182.181	    0.165
5183.037	    0.170
5183.894	    0.144
5184.751	    0.151
5185.607	    0.195
5186.464	    0.177
5187.321	    0.139
5188.178	    0.135
5189.036	    0.140
5189.893	    0.123
5190.751	    0.116
5191.608	    0.126
5192.466	    0.144
5193.324	    0.150
5194.182	    0.150
5195.041	    0.154
5195.899	    0.152
5196.758	    0.150
5197.616	    0.151
5198.475	    0.154
5199.334	    0.157
5200.194	    0.159
5201.053	    0.161
5201.912	    0.163
5202.772	    0.164
5203.632	    0.163
5204.491	    0.159
5205.351	    0.155
5206.212	    0.152
5207.072	    0.154
5207.932	    0.160
5208.793	    0.168
5209.654	    0.176
5210.514	    0.184
5211.375	    0.190
5212.236	    0.194
5213.098	    0.196
5213.959	    0.198
5214.821	    0.198
5215.682	    0.197
5216.544	    0.196
5217.406	    0.198
5228.625	    0.215
5229.489	    0.204
5230.353	    0.189
5231.218	    0.187
5232.082	    0.201
5232.947	    0.215
5233.811	    0.194
5234.676	    0.168
5235.541	    0.164
5236.406	    0.132
5237.271	    0.068
5238.137	    0.093
5239.002	    0.133
5239.868	    0.136
5240.734	    0.176
5241.600	    0.145
5242.466	    0.115
5243.332	    0.171
5244.199	    0.157
5245.065	    0.147
5245.932	    0.173
5246.799	    0.176
5247.666	    0.162
5248.533	    0.160
5249.400	    0.149
5250.268	    0.123
5251.135	    0.118
5252.003	    0.136
5252.871	    0.134
5253.739	    0.068
5254.607	    0.068
5255.475	    0.041
5256.344	    0.081
5257.212	    0.079
5258.081	    0.063
5258.950	    0.045
5259.819	    0.152
5260.688	    0.199
5261.557	    0.228
5262.427	    0.235
5263.296	    0.227
5264.166	    0.235
5265.036	    0.241
5265.906	    0.243
5266.776	    0.249
5267.646	    0.233
5268.517	    0.206
5269.387	    0.188
5270.258	    0.188
5271.129	    0.201
5272.000	    0.176
5272.871	    0.155
5273.742	    0.234
5274.614	    0.209
5275.485	    0.199
5276.357	    0.226
5290.324	    0.254
5291.199	    0.200
5292.073	    0.232
5292.947	    0.211
5293.822	    0.137
5294.697	    0.158
5295.572	    0.196
5296.447	    0.159
5297.322	    0.176
5298.197	    0.202
5299.073	    0.213
5299.948	    0.209
5300.824	    0.154
5301.700	    0.129
5302.576	    0.181
5303.452	    0.170
5304.329	    0.139
5305.205	    0.096
5306.082	    0.186
5306.959	    0.208
5307.836	    0.169
5308.713	    0.122
5309.590	    0.053
5310.467	    0.224
5311.345	    0.235
5312.222	    0.133
5313.100	    0.168
5313.978	    0.207
5314.856	    0.148
5315.734	    0.174
5316.613	    0.203
5317.491	    0.217
5318.370	    0.185
5319.249	    0.124
5320.128	    0.168
5321.007	    0.187
5321.886	    0.211
5322.766	    0.241
5323.645	    0.230
5324.525	    0.214
5325.405	    0.229
5326.285	    0.199
