WV      	 Sigma   
5184.351	    0.045
5185.282	    0.039
5186.212	    0.044
5187.143	    0.046
5188.074	    0.033
5189.006	    0.047
5189.937	    0.032
5190.868	    0.022
5191.800	    0.031
5192.732	    0.053
5193.664	    0.057
5194.596	    0.056
5195.529	    0.056
5196.461	    0.056
5197.394	    0.056
5198.327	    0.055
5199.260	    0.055
5200.193	    0.054
5201.127	    0.053
5202.060	    0.052
5202.994	    0.052
5203.928	    0.052
5204.862	    0.052
5205.796	    0.052
5206.731	    0.053
5207.665	    0.054
5208.600	    0.054
5209.535	    0.054
5210.470	    0.054
5211.405	    0.053
5212.341	    0.052
5213.276	    0.051
5214.212	    0.049
5215.148	    0.046
5216.084	    0.041
5217.021	    0.033
5217.957	    0.025
5218.894	    0.020
5219.830	    0.022
5220.767	    0.026
5221.704	    0.029
5222.642	    0.030
5223.579	    0.032
5224.517	    0.036
5225.454	    0.040
5226.392	    0.043
5227.331	    0.043
5228.269	    0.043
5229.207	    0.043
5230.146	    0.042
5231.085	    0.032
5232.024	    0.031
5232.963	    0.036
5233.902	    0.034
5234.842	    0.032
5235.781	    0.035
5236.721	    0.013
5237.661	    0.039
5238.601	    0.024
5239.541	    0.056
5240.482	    0.017
5241.423	    0.043
5242.363	    0.054
5243.304	    0.017
5244.245	    0.036
5245.187	    0.043
5246.128	    0.049
5247.070	    0.056
5248.012	    0.064
5248.954	    0.069
5249.896	    0.042
5250.838	    0.050
5251.781	    0.022
5252.723	    0.056
5253.666	    0.018
5254.609	    0.069
5255.552	    0.055
5256.496	    0.046
5257.439	    0.049
5258.383	    0.046
5259.327	    0.039
5260.271	    0.041
5261.215	    0.038
5262.159	    0.035
5263.104	    0.064
5264.049	    0.064
5264.994	    0.067
5265.939	    0.063
5266.884	    0.041
5267.829	    0.040
5268.775	    0.053
5269.721	    0.045
5270.666	    0.019
5271.612	    0.014
5272.559	    0.057
5273.505	    0.018
5274.452	    0.037
5275.398	    0.056
5276.345	    0.030
5277.292	    0.028
5278.240	    0.008
5279.187	    0.029
5280.135	    0.037
5281.082	    0.045
5282.030	    0.047
5282.979	    0.035
5283.927	    0.022
5284.875	    0.061
5285.824	    0.055
5286.773	    0.010
5287.722	    0.044
5288.671	    0.026
5289.620	    0.052
5290.569	    0.045
5291.519	    0.030
5292.469	    0.023
5293.419	    0.019
5294.369	    0.013
5304.832	    0.031
5305.784	    0.039
5306.736	    0.047
5307.689	    0.047
5308.642	    0.020
5309.595	    0.023
5310.548	    0.033
5311.501	    0.052
5312.454	    0.062
5313.408	    0.066
5314.362	    0.037
5315.315	    0.036
5316.270	    0.050
5317.224	    0.046
5318.178	    0.055
5319.133	    0.056
5320.088	    0.036
5321.043	    0.046
5321.998	    0.027
5322.953	    0.014
5323.908	    0.036
5324.864	    0.037
5325.820	    0.029
5326.776	    0.034
5327.732	    0.033
5328.688	    0.037
5329.645	    0.014
5330.601	    0.041
5331.558	    0.057
5332.515	    0.045
5333.472	    0.055
5334.430	    0.068
5335.387	    0.013
5336.345	    0.043
5337.303	    0.019
5338.261	    0.033
5339.219	    0.020
5340.177	    0.044
5341.136	    0.039
5342.094	    0.013
5343.053	    0.033
5344.012	    0.043
5344.972	    0.030
5345.931	    0.038
5346.891	    0.046
5347.850	    0.030
5348.810	    0.030
5349.770	    0.029
5350.731	    0.038
5351.691	    0.008
5352.652	    0.017
5353.612	    0.013
5354.573	    0.026
5355.535	    0.034
5356.496	    0.026
5357.457	    0.043
5358.419	    0.029
5359.381	    0.028
5360.343	    0.028
5361.305	    0.024
5362.267	    0.024
5363.230	    0.016
5364.192	    0.008
5365.155	    0.024
5366.118	    0.029
5367.081	    0.014
5368.045	    0.025
5369.008	    0.046
5369.972	    0.046
5370.936	    0.040
5371.900	    0.035
5372.864	    0.018
5373.829	    0.028
5374.793	    0.031
5375.758	    0.037
5376.723	    0.060
5377.688	    0.063
5378.653	    0.059
5379.619	    0.045
5380.584	    0.029
5381.550	    0.039
5382.516	    0.049
5383.482	    0.017
5384.449	    0.025
5385.415	    0.010
5386.382	    0.024
5387.349	    0.094
5388.316	    0.140
5389.283	    0.130
5390.250	    0.096
5391.218	    0.073
5392.185	    0.058
5393.153	    0.060
5394.121	    0.045
5395.090	    0.037
5396.058	    0.012
5397.027	    0.045
