WV      	 Sigma   
4743.995	    0.053
4744.848	    0.084
4745.700	    0.274
4746.553	    0.135
4747.406	    0.141
4748.259	    0.119
4749.112	    0.164
4749.965	    0.146
4750.818	    0.308
4751.672	    0.099
4752.526	    0.168
4753.379	    0.222
4754.233	    0.199
4755.088	    0.106
4755.942	    0.334
4756.796	    0.334
4757.651	    0.291
4758.506	    0.238
4759.361	    0.106
4760.216	    0.244
4761.071	    0.241
4761.926	    0.225
4762.782	    0.323
4763.638	    0.135
4764.494	    0.146
4765.350	    0.219
4766.206	    0.130
4767.062	    0.206
4767.919	    0.260
4768.775	    0.308
4769.632	    0.342
4770.489	    0.344
4771.346	    0.286
4772.203	    0.135
4773.061	    0.188
4773.918	    0.274
4774.776	    0.206
4775.634	    0.150
4776.492	    0.159
4777.350	    0.199
4778.208	    0.219
4779.067	    0.289
4779.925	    0.310
4780.784	    0.319
4781.643	    0.352
4782.502	    0.354
4783.361	    0.296
4784.221	    0.184
4785.080	    0.213
4785.940	    0.164
4786.800	    0.075
4787.660	    0.146
4788.520	    0.125
4789.381	    0.065
4790.241	    0.113
4791.102	    0.099
4791.962	    0.146
4792.823	    0.246
4793.684	    0.199
4794.546	    0.084
4795.407	    0.106
4796.269	    0.125
4797.130	    0.206
4797.992	    0.281
4798.854	    0.334
4799.717	    0.321
4800.579	    0.276
4801.441	    0.206
4802.304	    0.244
4803.167	    0.164
4804.030	    0.222
4804.893	    0.286
4805.756	    0.119
4806.620	    0.284
4807.483	    0.296
4808.347	    0.113
4809.211	    0.255
4810.075	    0.184
4810.939	    0.141
4811.803	    0.216
4812.668	    0.340
4813.533	    0.338
4814.397	    0.199
4815.262	    0.338
4816.128	    0.336
4816.993	    0.180
4817.858	    0.065
4818.724	    0.268
4819.590	    0.209
4820.456	    0.180
4821.322	    0.172
4822.188	    0.298
4823.054	    0.159
4823.921	    0.141
4824.787	    0.192
4825.654	    0.206
4826.521	    0.180
4827.388	    0.213
4828.256	    0.135
4829.123	    0.168
4829.991	    0.255
4830.859	    0.222
4831.727	    0.184
4832.595	    0.340
4833.463	    0.432
4834.331	    0.268
4835.200	    0.092
4836.069	    0.099
4836.937	    0.075
4837.806	    0.146
4838.676	    0.168
4839.545	    0.135
4840.415	    0.065
4841.284	    0.084
4842.154	    0.159
4843.024	    0.155
4843.894	    0.099
4844.764	    0.235
4845.635	    0.241
4846.505	    0.150
4847.376	    0.053
4848.247	    0.130
4849.118	    0.150
4849.989	    0.125
4850.861	    0.159
4851.732	    0.276
4852.604	    0.075
4853.476	    0.241
4854.348	    0.303
4855.220	    0.286
4856.092	    0.202
4856.965	    0.119
4857.837	    0.141
4858.710	    0.113
4859.583	    0.099
4860.456	    0.150
4861.329	    0.075
4862.203	    0.213
4863.076	    0.303
4863.950	    0.281
4864.824	    0.130
4865.698	    0.092
4866.572	    0.206
4867.447	    0.289
4868.321	    0.146
4869.196	    0.229
4870.071	    0.350
4870.946	    0.314
4871.821	    0.222
4872.696	    0.366
4873.571	    0.296
4874.447	    0.053
4875.323	    0.255
4876.199	    0.305
4877.075	    0.184
4877.951	    0.219
4878.827	    0.370
4879.704	    0.195
4880.581	    0.164
4881.458	    0.328
4882.335	    0.293
4883.212	    0.188
4884.089	    0.274
4884.967	    0.435
4885.844	    0.328
4886.722	    0.135
4887.600	    0.383
4888.478	    0.352
4889.356	    0.422
4890.235	    0.410
4891.114	    0.038
4891.992	    0.172
4892.871	    0.249
4893.750	    0.135
4894.630	    0.195
4895.509	    0.249
4896.388	    0.274
4897.268	    0.274
4898.148	    0.268
4899.028	    0.260
4899.908	    0.192
4900.789	    0.146
4901.669	    0.258
4902.550	    0.260
4903.431	    0.274
4904.312	    0.284
4905.193	    0.168
4906.074	    0.652
4906.955	    1.091
4907.837	    1.411
4908.719	    1.535
4909.601	    1.410
4910.483	    1.079
4911.365	    0.609
4912.247	    0.180
4913.130	    0.352
4914.013	    0.387
4914.896	    0.305
4915.779	    0.298
4916.662	    0.266
4917.545	    0.216
4918.429	    0.246
4919.312	    0.312
4920.196	    0.229
4921.080	    0.192
4921.964	    0.268
4922.849	    0.172
4923.733	    0.168
4924.618	    0.176
4925.502	    0.099
4926.387	    0.202
4927.273	    0.319
4928.158	    0.084
4929.043	    0.192
4929.929	    0.279
4930.815	    0.263
4931.700	    0.244
4932.586	    0.146
4933.473	    0.135
4934.359	    0.106
4935.246	    0.106
4936.132	    0.176
4937.019	    0.150
4937.906	    0.213
4938.793	    0.296
4939.681	    0.314
4940.568	    0.219
4941.456	    0.164
4942.344	    0.188
4943.232	    0.141
4944.120	    0.150
4945.008	    0.135
4945.896	    0.172
4946.785	    0.141
4947.674	    0.219
4948.563	    0.325
4949.452	    0.135
4950.341	    0.235
4951.230	    0.360
4952.120	    0.113
4953.010	    0.155
4953.900	    0.168
4954.790	    0.053
4955.680	    0.232
4956.570	    0.125
4957.461	    0.362
4958.351	    0.448
4959.242	    0.312
4960.133	    0.389
4961.024	    0.075
4961.916	    0.065
4962.807	    0.150
4963.699	    0.099
4964.591	    0.274
4965.483	    0.305
4966.375	    0.176
4967.267	    0.332
4968.159	    0.334
4969.052	    0.266
4969.945	    0.195
4970.838	    0.271
4971.731	    0.344
4972.624	    0.246
4973.518	    0.356
4974.411	    0.356
4975.305	    0.130
4976.199	    0.184
4977.093	    0.284
4977.987	    0.286
4978.881	    0.150
4979.776	    0.164
4980.671	    0.092
