wlen 	 newgal_spectrum 
  4663.431 	     -0.025
  4664.268 	     -0.010
  4665.106 	      0.017
  4665.943 	      0.022
  4666.781 	      0.012
  4667.618 	     -0.005
  4668.456 	     -0.020
  4669.294 	     -0.027
  4670.132 	     -0.021
  4670.970 	     -0.016
  4671.809 	     -0.014
  4672.647 	     -0.014
  4673.486 	     -0.017
  4674.325 	     -0.026
  4675.164 	     -0.015
  4676.003 	      0.009
  4676.843 	      0.024
  4677.682 	      0.021
  4678.522 	     -0.001
  4679.361 	     -0.030
  4680.201 	     -0.026
  4681.041 	     -0.020
  4681.882 	     -0.034
  4682.722 	     -0.045
  4683.563 	     -0.033
  4684.403 	      0.017
  4685.244 	      0.025
  4686.085 	     -0.089
  4686.926 	     -0.064
  4687.767 	     -0.052
  4688.609 	     -0.066
  4689.450 	      0.006
  4690.292 	     -0.044
  4691.134 	     -0.036
  4691.976 	     -0.013
  4692.818 	     -0.005
  4693.661 	     -0.011
  4694.503 	     -0.014
  4695.346 	     -0.014
  4696.189 	     -0.053
  4697.032 	     -0.006
  4697.875 	      0.006
  4698.718 	     -0.015
  4699.561 	     -0.010
  4700.405 	     -0.030
  4701.249 	      0.040
  4702.092 	      0.021
  4702.936 	      0.013
  4703.781 	      0.033
  4704.625 	      0.059
  4705.469 	      0.034
  4706.314 	     -0.048
  4707.159 	     -0.037
  4708.004 	     -0.026
  4708.849 	     -0.025
  4709.694 	     -0.021
  4710.539 	     -0.008
  4711.385 	     -0.021
  4712.231 	     -0.006
  4713.076 	      0.002
  4713.922 	     -0.004
  4714.768 	     -0.015
  4715.615 	      0.007
  4716.461 	      0.014
  4717.308 	      0.014
  4718.154 	     -0.042
  4719.001 	     -0.070
  4719.848 	     -0.045
  4720.696 	     -0.005
  4721.543 	     -0.047
  4722.390 	     -0.048
  4723.238 	     -0.039
  4724.086 	     -0.050
  4724.934 	     -0.070
  4725.782 	     -0.064
  4726.630 	     -0.034
  4727.479 	      0.033
  4728.327 	      0.024
  4729.176 	      0.001
  4730.025 	     -0.009
  4730.874 	      0.009
  4731.723 	      0.058
  4732.572 	      0.016
  4733.422 	     -0.017
  4734.271 	     -0.028
  4735.121 	      0.001
  4735.971 	      0.036
  4736.821 	     -0.016
  4737.671 	     -0.016
  4738.522 	     -0.048
  4739.372 	     -0.024
  4740.223 	      0.006
  4741.074 	      0.017
  4741.925 	      0.006
  4742.776 	      0.050
  4743.627 	     -0.016
  4744.479 	     -0.003
  4745.330 	     -0.021
  4746.182 	     -0.046
  4747.034 	     -0.052
  4747.886 	     -0.036
  4748.738 	     -0.001
  4749.591 	     -0.068
  4750.443 	     -0.057
  4751.296 	     -0.023
  4752.149 	     -0.001
  4753.002 	     -0.004
  4753.855 	     -0.033
  4754.708 	      0.008
  4755.562 	     -0.025
  4756.415 	     -0.075
  4757.269 	     -0.087
  4758.123 	     -0.044
  4758.977 	      0.020
  4759.831 	     -0.007
  4760.686 	      0.011
  4761.540 	     -0.001
  4762.395 	     -0.003
  4763.250 	     -0.004
  4764.105 	     -0.029
  4764.960 	     -0.041
  4765.815 	     -0.010
  4766.671 	      0.020
  4767.526 	      0.018
  4768.382 	      0.005
  4769.238 	     -0.016
  4770.094 	     -0.061
  4770.950 	     -0.077
  4771.807 	     -0.013
  4772.663 	     -0.011
  4773.520 	     -0.047
  4774.377 	     -0.074
  4775.234 	     -0.055
  4776.091 	      0.001
  4776.948 	      0.031
  4777.805 	      0.021
  4778.663 	      0.032
  4779.521 	      0.033
  4780.379 	      0.035
  4781.237 	      0.050
  4782.095 	     -0.010
  4782.953 	     -0.040
  4783.812 	     -0.038
  4784.670 	     -0.024
  4785.529 	     -0.006
  4786.388 	      0.004
  4787.247 	     -0.002
  4788.107 	      0.003
  4788.966 	     -0.038
  4789.826 	     -0.059
  4790.686 	     -0.080
  4791.545 	     -0.060
  4792.405 	      0.005
  4793.266 	      0.047
  4794.126 	     -0.010
  4794.987 	     -0.017
  4795.847 	     -0.006
  4796.708 	     -0.028
  4797.569 	     -0.024
  4798.430 	      0.020
  4799.292 	     -0.002
  4800.153 	     -0.019
  4801.015 	      0.016
  4801.876 	     -0.060
  4802.738 	     -0.049
  4803.600 	     -0.016
  4804.463 	     -0.032
  4805.325 	      0.061
  4806.188 	     -0.012
  4807.050 	     -0.019
  4807.913 	      0.002
  4808.776 	     -0.012
  4809.639 	     -0.033
  4810.503 	     -0.024
  4811.366 	     -0.027
  4812.230 	     -0.054
  4813.093 	     -0.037
  4813.957 	     -0.049
  4814.821 	     -0.039
  4815.686 	     -0.010
  4816.550 	     -0.001
  4817.415 	     -0.077
  4818.279 	     -0.010
  4819.144 	      0.007
  4820.009 	     -0.006
  4820.874 	     -0.012
  4821.740 	     -0.024
  4822.605 	     -0.046
  4823.471 	     -0.011
  4824.337 	     -0.002
  4825.203 	      0.006
  4826.069 	      0.056
  4826.935 	      0.053
  4827.801 	      0.030
  4828.668 	      0.029
  4829.535 	      0.014
  4830.401 	      0.002
  4831.269 	     -0.024
  4832.136 	     -0.036
  4833.003 	     -0.034
  4833.871 	     -0.039
  4834.738 	     -0.045
  4835.606 	     -0.007
  4836.474 	      0.029
  4837.342 	      0.019
  4838.210 	      0.036
  4839.079 	      0.019
  4839.947 	     -0.014
  4840.816 	     -0.029
  4841.685 	     -0.019
  4842.554 	     -0.041
  4843.423 	     -0.013
  4844.293 	     -0.008
  4845.162 	      0.001
  4846.032 	     -0.013
  4846.902 	     -0.036
  4847.772 	     -0.036
  4848.642 	     -0.036
  4849.512 	     -0.030
  4850.383 	     -0.040
  4851.253 	     -0.059
  4852.124 	     -0.036
  4852.995 	      0.020
  4853.866 	      0.044
  4854.737 	     -0.044
  4855.609 	      0.004
  4856.480 	     -0.008
  4857.352 	     -0.024
  4858.224 	     -0.018
  4859.096 	     -0.023
  4859.968 	     -0.037
  4860.841 	     -0.025
  4861.713 	      0.004
  4862.586 	     -0.061
  4863.459 	     -0.063
  4864.332 	     -0.015
  4865.205 	      0.007
  4866.078 	     -0.015
  4866.951 	     -0.045
  4867.825 	     -0.042
  4868.699 	     -0.107
  4869.573 	     -0.052
  4870.447 	     -0.032
  4871.321 	     -0.045
  4872.195 	     -0.079
  4873.070 	     -0.087
  4873.945 	     -0.029
  4874.819 	     -0.063
  4875.694 	      0.009
  4876.570 	     -0.052
  4877.445 	     -0.054
  4878.320 	     -0.040
  4879.196 	     -0.040
  4880.072 	     -0.063
  4880.948 	     -0.113
  4881.824 	     -0.021
  4882.700 	     -0.067
  4883.577 	     -0.114
  4884.453 	     -0.071
  4885.330 	     -0.036
  4886.207 	     -0.027
  4887.084 	     -0.002
  4887.961 	      0.004
  4888.838 	      0.001
  4889.716 	     -0.068
  4890.594 	     -0.062
  4891.472 	     -0.040
  4892.350 	     -0.029
  4893.228 	     -0.033
  4894.106 	     -0.043
  4894.984 	     -0.038
  4895.863 	     -0.032
  4896.742 	     -0.034
  4897.621 	     -0.053
  4898.500 	     -0.076
  4899.379 	     -0.079
  4900.259 	     -0.057
  4901.138 	     -0.034
  4902.018 	     -0.010
  4902.898 	      0.098
  4903.778 	      0.373
  4904.658 	      0.935
  4905.538 	      1.652
  4906.419 	      2.215
  4907.300 	      2.330
  4908.180 	      1.894
  4909.061 	      1.031
  4909.943 	      0.395
  4910.824 	      0.185
  4911.705 	      0.066
  4912.587 	      0.006
  4913.469 	     -0.014
  4914.351 	     -0.024
  4915.233 	     -0.054
  4916.115 	     -0.031
  4916.998 	     -0.054
  4917.880 	     -0.064
  4918.763 	     -0.054
  4919.646 	     -0.041
  4920.529 	     -0.031
  4921.412 	     -0.026
  4922.295 	     -0.044
  4923.179 	     -0.058
  4924.063 	     -0.078
  4924.947 	     -0.077
  4925.831 	     -0.086
  4926.715 	     -0.078
  4927.599 	     -0.084
  4928.484 	     -0.094
